,X,Y,Z,formation
0,0.0,0.0,-54.164078608088225,CSS
1,0.0,75.0,-54.866996436607394,CSS
2,0.0,150.0,-54.84258874886145,CSS
3,75.0,0.0,-55.852176398265485,CSS
4,75.0,75.0,-54.05789601668766,CSS
5,75.0,150.0,-54.86130788199119,CSS
6,150.0,0.0,-54.03514671336996,CSS
7,150.0,75.0,-54.302221471072286,CSS
8,150.0,150.0,-54.6962846927742,CSS
9,0.0,0.0,-25.0,SS
10,0.0,75.0,-25.0,SS
11,0.0,150.0,-25.0,SS
12,75.0,0.0,-25.0,SS
13,75.0,75.0,-25.0,SS
14,75.0,150.0,-25.0,SS
15,150.0,0.0,-25.0,SS
16,150.0,75.0,-25.0,SS
17,150.0,150.0,-25.0,SS
18,0.0,0.0,-15.930227022798315,Soil
19,0.0,75.0,-15.940240381396675,Soil
20,0.0,150.0,-16.318587095356754,Soil
21,75.0,0.0,-16.39341116719642,Soil
22,75.0,75.0,-16.21946757306472,Soil
23,75.0,150.0,-16.497720125704323,Soil
24,150.0,0.0,-16.410209773766674,Soil
25,150.0,75.0,-15.716637475976153,Soil
26,150.0,150.0,-15.855971620416254,Soil
